db_id,target_table,target_total,realized_total,shortfall_total,overall_fulfillment_rate,requested_strategy_count,requested_strategies,feasible_strategy_count,shortfall_strategies,shortfall_reasons,report_path
chinook_1,track,50,50,0,1.0,17,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",17,,,data/spider/qa/flexbench/chinook_1/generation_report.json
cinema,cinema,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/spider/qa/flexbench/cinema/generation_report.json
city_record,city,50,25,25,0.5,11,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",11,"2iE,2iH,2iM,2pE,2pH,2pM",sparse_combinations:25,data/spider/qa/flexbench/city_record/generation_report.json
climbing,mountain,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/climbing/generation_report.json
club_1,club,50,50,0,1.0,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,,,data/spider/qa/flexbench/club_1/generation_report.json
coffee_shop,shop,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/coffee_shop/generation_report.json
college_1,employee,50,50,0,1.0,18,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM",18,,,data/spider/qa/flexbench/college_1/generation_report.json
college_2,department,50,50,0,1.0,9,"0E,1pE,1pM,2iE,2iH,2iM,3iE,3iH,3iM",9,,,data/spider/qa/flexbench/college_2/generation_report.json
college_3,department,50,50,0,1.0,17,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM",17,,,data/spider/qa/flexbench/college_3/generation_report.json
company_1,employee,50,50,0,1.0,3,"0E,0H,0M",3,,,data/spider/qa/flexbench/company_1/generation_report.json
company_employee,people,50,50,0,1.0,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,,,data/spider/qa/flexbench/company_employee/generation_report.json
company_office,companies,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,,,data/spider/qa/flexbench/company_office/generation_report.json
concert_singer,stadium,50,26,24,0.52,6,"0E,0H,0M,1pE,1pH,1pM",6,"1pE,1pH,1pM",sparse_combinations:24,data/spider/qa/flexbench/concert_singer/generation_report.json
county_public_safety,county_public_safety,50,50,0,1.0,6,"0E,0H,0M,1pE,1pH,1pM",6,,,data/spider/qa/flexbench/county_public_safety/generation_report.json
course_teach,teacher,50,43,7,0.86,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,2pH,qa_validation_failed:7,data/spider/qa/flexbench/course_teach/generation_report.json
cre_Doc_Control_Systems,documents,50,50,0,1.0,13,"0E,0M,1pE,1pM,2iE,2iH,2iM,3iE,3iH,3iM,4iE,4iH,4iM",13,,,data/spider/qa/flexbench/cre_Doc_Control_Systems/generation_report.json
cre_Doc_Template_Mgt,ref_template_types,50,38,12,0.76,3,"0E,1pE,1pM",3,0E,duplicate_pair:12,data/spider/qa/flexbench/cre_Doc_Template_Mgt/generation_report.json
cre_Doc_Tracking_DB,ref_calendar,50,38,12,0.76,8,"0E,1pE,2iE,2pE,2pM,3iE,3pE,3pM",8,"2iE,3iE",sparse_combinations:12,data/spider/qa/flexbench/cre_Doc_Tracking_DB/generation_report.json
cre_Docs_and_Epenses,documents,50,50,0,1.0,11,"0E,1pE,1pM,2iE,2iM,3iE,3iH,3iM,4iE,4iH,4iM",11,,,data/spider/qa/flexbench/cre_Docs_and_Epenses/generation_report.json
cre_Drama_Workshop_Groups,addresses,50,6,44,0.12,17,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",17,"1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",sparse_combinations:44,data/spider/qa/flexbench/cre_Drama_Workshop_Groups/generation_report.json
cre_Theme_park,tourist_attractions,50,50,0,1.0,12,"0E,1pE,1pM,2iE,2iH,2iM,3iE,3iH,3iM,4iE,4iH,4iM",12,,,data/spider/qa/flexbench/cre_Theme_park/generation_report.json
csu_1,campuses,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM,4iE,4iH,4iM",14,,,data/spider/qa/flexbench/csu_1/generation_report.json
culture_company,movie,50,14,36,0.28,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,"1pE,1pH,1pM,2pE,2pH,2pM",sparse_combinations:36,data/spider/qa/flexbench/culture_company/generation_report.json
customer_complaints,customers,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,,,data/spider/qa/flexbench/customer_complaints/generation_report.json
customer_deliveries,addresses,50,50,0,1.0,17,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM",17,,,data/spider/qa/flexbench/customer_deliveries/generation_report.json
customers_and_addresses,customers,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM",14,,,data/spider/qa/flexbench/customers_and_addresses/generation_report.json
customers_and_invoices,customers,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/spider/qa/flexbench/customers_and_invoices/generation_report.json
customers_and_products_contacts,customers,50,50,0,1.0,12,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",12,,,data/spider/qa/flexbench/customers_and_products_contacts/generation_report.json
customers_campaigns_ecommerce,customers,50,50,0,1.0,15,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM",15,,,data/spider/qa/flexbench/customers_campaigns_ecommerce/generation_report.json
customers_card_transactions,accounts,50,50,0,1.0,6,"0E,1pE,1pM,2pE,2pH,2pM",6,,,data/spider/qa/flexbench/customers_card_transactions/generation_report.json
debate,people,50,15,35,0.3,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,"1pE,1pM,2pE,2pH,2pM",sparse_combinations:35,data/spider/qa/flexbench/debate/generation_report.json
decoration_competition,college,50,50,0,1.0,4,"0E,0M,1pE,1pM",4,,,data/spider/qa/flexbench/decoration_competition/generation_report.json
department_store,suppliers,50,50,0,1.0,13,"0E,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3pE,3pH,3pM",13,,,data/spider/qa/flexbench/department_store/generation_report.json
device,device,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/spider/qa/flexbench/device/generation_report.json
document_management,documents,50,50,0,1.0,10,"0E,0M,1pE,1pM,2iE,2iH,2iM,3iE,3iH,3iM",10,,,data/spider/qa/flexbench/document_management/generation_report.json
dog_kennels,owners,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,,,data/spider/qa/flexbench/dog_kennels/generation_report.json
dorm_1,dorm,50,50,0,1.0,9,"0E,0M,1pE,1pM,2iE,2iM,2pE,2pH,2pM",9,,,data/spider/qa/flexbench/dorm_1/generation_report.json
driving_school,addresses,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM",8,,,data/spider/qa/flexbench/driving_school/generation_report.json
e_government,parties,50,50,0,1.0,17,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM",17,,,data/spider/qa/flexbench/e_government/generation_report.json
e_learning,subjects,50,44,6,0.88,6,"0E,1pE,1pM,2pE,2pH,2pM",6,0E,duplicate_pair:6,data/spider/qa/flexbench/e_learning/generation_report.json
election,county,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/spider/qa/flexbench/election/generation_report.json
election_representative,representative,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/election_representative/generation_report.json
employee_hire_evaluation,employee,50,35,15,0.7,10,"0E,0M,1pE,1pM,2iE,2iH,2iM,2pE,2pH,2pM",10,"2iE,2iH,2iM",sparse_combinations:15,data/spider/qa/flexbench/employee_hire_evaluation/generation_report.json
entertainment_awards,festival_detail,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/spider/qa/flexbench/entertainment_awards/generation_report.json
entrepreneur,people,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/entrepreneur/generation_report.json
epinions_1,useracct,50,35,15,0.7,7,"0E,1pE,1pM,2iE,2iM,2pE,2pM",7,"0E,2iE,2iM",sparse_combinations:14; duplicate_pair:1,data/spider/qa/flexbench/epinions_1/generation_report.json
farm,city,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/farm/generation_report.json
film_rank,market,50,50,0,1.0,7,"0E,1pE,1pH,1pM,2pE,2pH,2pM",7,,,data/spider/qa/flexbench/film_rank/generation_report.json
flight_1,aircraft,50,50,0,1.0,9,"0E,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pM",9,,,data/spider/qa/flexbench/flight_1/generation_report.json
flight_2,airports,50,0,50,0.0,4,"0E,0M,1pE,1pM",4,"0E,0M,1pE,1pM",sparse_combinations:24; insufficient_filter_columns:13; result_size_out_of_range:13,data/spider/qa/flexbench/flight_2/generation_report.json
flight_4,airlines,50,35,15,0.7,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,"2pE,2pH,2pM",qa_validation_failed:15,data/spider/qa/flexbench/flight_4/generation_report.json
flight_company,operate_company,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/spider/qa/flexbench/flight_company/generation_report.json
formula_1,races,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM,4iE,4iH,4iM",14,,,data/spider/qa/flexbench/formula_1/generation_report.json
game_1,student,50,50,0,1.0,12,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",12,,,data/spider/qa/flexbench/game_1/generation_report.json
game_injury,stadium,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/game_injury/generation_report.json
gas_company,company,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,,,data/spider/qa/flexbench/gas_company/generation_report.json
geo,state,50,0,50,0.0,12,"0E,0M,1pE,1pM,2iE,2iM,3iE,3iH,3iM,4iE,4iH,4iM",12,"0E,0M,1pE,1pM,2iE,2iM,3iE,3iH,3iM,4iE,4iH,4iM",sparse_combinations:40; no_valid_values:10,data/spider/qa/flexbench/geo/generation_report.json
gymnast,people,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/gymnast/generation_report.json
hospital_1,physician,50,50,0,1.0,20,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",20,,,data/spider/qa/flexbench/hospital_1/generation_report.json
hr_1,jobs,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3pE,3pH,3pM",14,,,data/spider/qa/flexbench/hr_1/generation_report.json
icfp_1,papers,50,42,8,0.84,3,"1pE,2pE,2pM",3,1pE,duplicate_pair:8,data/spider/qa/flexbench/icfp_1/generation_report.json
imdb,copyright,50,0,50,0.0,10,"0E,1pE,2iE,2iM,2pE,2pM,3iE,3iM,4iE,4iM",10,"0E,1pE,2iE,2iM,2pE,2pM,3iE,3iM,4iE,4iM",sparse_combinations:45; no_valid_values:5,data/spider/qa/flexbench/imdb/generation_report.json
inn_1,rooms,50,50,0,1.0,6,"0E,0H,0M,1pE,1pH,1pM",6,,,data/spider/qa/flexbench/inn_1/generation_report.json
insurance_and_eClaims,staff,50,50,0,1.0,11,"0E,1pE,1pM,2iE,2iM,2pE,2pH,2pM,3pE,3pH,3pM",11,,,data/spider/qa/flexbench/insurance_and_eClaims/generation_report.json
insurance_policies,customers,50,48,2,0.96,3,"0E,1pE,1pM",3,0E,duplicate_pair:2,data/spider/qa/flexbench/insurance_policies/generation_report.json
journal_committee,journal,50,50,0,1.0,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,,,data/spider/qa/flexbench/journal_committee/generation_report.json
local_govt_and_lot,things,50,50,0,1.0,16,"0E,0M,1pE,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",16,,,data/spider/qa/flexbench/local_govt_and_lot/generation_report.json
local_govt_in_alabama,services,50,24,26,0.48,2,"0E,1pE",2,"0E,1pE",duplicate_pair:26,data/spider/qa/flexbench/local_govt_in_alabama/generation_report.json
local_govt_mdm,cmi_cross_references,50,36,14,0.72,5,"0E,1pE,2iE,3iE,4iE",5,"0E,4iE",sparse_combinations:10; duplicate_pair:4,data/spider/qa/flexbench/local_govt_mdm/generation_report.json
machine_repair,machine,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,,,data/spider/qa/flexbench/machine_repair/generation_report.json
manufactory_1,manufacturers,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/manufactory_1/generation_report.json
manufacturer,furniture,50,50,0,1.0,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,,,data/spider/qa/flexbench/manufacturer/generation_report.json
match_season,team,50,50,0,1.0,10,"0E,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",10,,,data/spider/qa/flexbench/match_season/generation_report.json
medicine_enzyme_interaction,medicine,50,50,0,1.0,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,,,data/spider/qa/flexbench/medicine_enzyme_interaction/generation_report.json
mountain_photos,mountain,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/spider/qa/flexbench/mountain_photos/generation_report.json
movie_1,reviewer,50,49,1,0.98,6,"0E,1pE,1pM,2pE,2pH,2pM",6,0E,duplicate_pair:1,data/spider/qa/flexbench/movie_1/generation_report.json
museum_visit,visitor,50,15,35,0.3,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,"1pE,1pM,2pE,2pH,2pM",sparse_combinations:35,data/spider/qa/flexbench/museum_visit/generation_report.json
music_1,genre,50,50,0,1.0,13,"0E,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3pE,3pH,3pM",13,,,data/spider/qa/flexbench/music_1/generation_report.json
music_2,songs,50,0,50,0.0,5,"1pE,2iE,2pE,3iE,4iE",5,"1pE,2iE,2pE,3iE,4iE",sparse_combinations:50,data/spider/qa/flexbench/music_2/generation_report.json
music_4,artist,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/music_4/generation_report.json
musical,actor,50,20,30,0.4,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,"1pH,1pM,2pE,2pH,2pM",generation_exception:30,data/spider/qa/flexbench/musical/generation_report.json
network_1,highschooler,50,17,33,0.34,3,"0E,1pE,2iE",3,"1pE,2iE",sparse_combinations:33,data/spider/qa/flexbench/network_1/generation_report.json
network_2,person,50,26,24,0.52,4,"0E,0M,1pE,1pM",4,"1pE,1pM",sparse_combinations:24,data/spider/qa/flexbench/network_2/generation_report.json
news_report,event,50,50,0,1.0,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,,,data/spider/qa/flexbench/news_report/generation_report.json
orchestra,conductor,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/orchestra/generation_report.json
party_host,party,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/spider/qa/flexbench/party_host/generation_report.json
party_people,party,50,38,12,0.76,11,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM",11,"3iE,3iH,3iM",sparse_combinations:12,data/spider/qa/flexbench/party_people/generation_report.json
performance_attendance,performance,50,29,21,0.58,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,"2pE,2pH,2pM",sparse_combinations:21,data/spider/qa/flexbench/performance_attendance/generation_report.json
perpetrator,people,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/perpetrator/generation_report.json
pets_1,student,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,,,data/spider/qa/flexbench/pets_1/generation_report.json
phone_1,chip_model,50,35,15,0.7,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,"2pE,2pH,2pM",sparse_combinations:15,data/spider/qa/flexbench/phone_1/generation_report.json
phone_market,phone,50,15,35,0.3,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,"1pE,1pM,2pE,2pH,2pM",sparse_combinations:35,data/spider/qa/flexbench/phone_market/generation_report.json
poker_player,people,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/poker_player/generation_report.json
product_catalog,catalog_structure,50,47,3,0.94,9,"0E,1pE,1pM,2iE,2iH,2iM,3iE,3iH,3iM",9,0E,duplicate_pair:3,data/spider/qa/flexbench/product_catalog/generation_report.json
products_for_hire,bookings,50,44,6,0.88,18,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",18,"4iE,4iH,4iM",sparse_combinations:6,data/spider/qa/flexbench/products_for_hire/generation_report.json
products_gen_characteristics,ref_characteristic_types,50,35,15,0.7,3,"0E,1pE,1pM",3,0E,duplicate_pair:15,data/spider/qa/flexbench/products_gen_characteristics/generation_report.json
program_share,program,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3pE,3pH,3pM",14,,,data/spider/qa/flexbench/program_share/generation_report.json
protein_institute,building,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/protein_institute/generation_report.json
race_track,track,50,20,30,0.4,5,"0E,0M,1pE,1pH,1pM",5,"1pE,1pH,1pM",sparse_combinations:30,data/spider/qa/flexbench/race_track/generation_report.json
railway,railway,50,50,0,1.0,12,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",12,,,data/spider/qa/flexbench/railway/generation_report.json
real_estate_properties,ref_feature_types,50,13,37,0.26,3,"0E,1pE,1pM",3,"0E,1pE,1pM",qa_validation_failed:33; duplicate_pair:4,data/spider/qa/flexbench/real_estate_properties/generation_report.json
restaurant_1,restaurant,50,50,0,1.0,9,"0E,0M,1pE,1pM,2iE,2iM,2pE,2pH,2pM",9,,,data/spider/qa/flexbench/restaurant_1/generation_report.json
riding_club,club,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM",8,,,data/spider/qa/flexbench/riding_club/generation_report.json
roller_coaster,country,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/roller_coaster/generation_report.json
sakila_1,address,50,33,17,0.66,18,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",18,"0H,3iE,3iH,3iM,4iE,4iH,4iM",sparse_combinations:14; insufficient_filter_columns:3,data/spider/qa/flexbench/sakila_1/generation_report.json
scholar,paper,50,0,50,0.0,10,"0E,0M,1pE,1pM,2iE,2iM,3iE,3iM,4iE,4iM",10,"0E,0M,1pE,1pM,2iE,2iM,3iE,3iM,4iE,4iM",sparse_combinations:40; no_valid_values:10,data/spider/qa/flexbench/scholar/generation_report.json
school_bus,driver,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/spider/qa/flexbench/school_bus/generation_report.json
school_finance,school,50,18,32,0.36,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,"1pE,1pH,1pM,2iE,2iH,2iM",sparse_combinations:32,data/spider/qa/flexbench/school_finance/generation_report.json
scientist_1,projects,50,50,0,1.0,4,"0E,1pE,2pE,2pM",4,,,data/spider/qa/flexbench/scientist_1/generation_report.json
ship_1,ship,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/ship_1/generation_report.json
ship_mission,ship,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/ship_mission/generation_report.json
shop_membership,branch,50,8,42,0.16,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3pE,3pH,3pM",14,"1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3pE,3pH,3pM",sparse_combinations:42,data/spider/qa/flexbench/shop_membership/generation_report.json
singer,singer,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/singer/generation_report.json
small_bank_1,accounts,50,44,6,0.88,4,"0E,1pE,2iE,2iM",4,0E,duplicate_pair:6,data/spider/qa/flexbench/small_bank_1/generation_report.json
soccer_1,player,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/soccer_1/generation_report.json
soccer_2,college,50,50,0,1.0,6,"0E,1pE,1pM,2pE,2pH,2pM",6,,,data/spider/qa/flexbench/soccer_2/generation_report.json
solvency_ii,events,50,48,2,0.96,8,"0E,1pE,2iE,2iM,3iE,3iM,4iE,4iM",8,0E,duplicate_pair:2,data/spider/qa/flexbench/solvency_ii/generation_report.json
sports_competition,club,50,29,21,0.58,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM",14,"2pE,2pH,2pM,3iE,3iH,3iM",sparse_combinations:21,data/spider/qa/flexbench/sports_competition/generation_report.json
station_weather,station,50,50,0,1.0,11,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",11,,,data/spider/qa/flexbench/station_weather/generation_report.json
store_1,tracks,50,50,0,1.0,17,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",17,,,data/spider/qa/flexbench/store_1/generation_report.json
store_product,store,50,50,0,1.0,9,"0E,0M,1pE,1pM,2iE,2iM,2pE,2pH,2pM",9,,,data/spider/qa/flexbench/store_product/generation_report.json
storm_record,storm,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/spider/qa/flexbench/storm_record/generation_report.json
student_1,list,50,25,25,0.5,2,"0E,0M",2,0M,insufficient_filter_columns:25,data/spider/qa/flexbench/student_1/generation_report.json
student_assessment,people,50,50,0,1.0,15,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM",15,,,data/spider/qa/flexbench/student_assessment/generation_report.json
student_transcripts_tracking,courses,50,50,0,1.0,9,"0E,1pE,1pM,2iE,2iM,2pE,3pE,3pH,3pM",9,,,data/spider/qa/flexbench/student_transcripts_tracking/generation_report.json
swimming,stadium,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/swimming/generation_report.json
theme_gallery,artist,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/theme_gallery/generation_report.json
tracking_grants_for_research,organisations,50,50,0,1.0,11,"0E,1pE,2iE,2iH,2iM,3iE,3iH,3iM,4iE,4iH,4iM",11,,,data/spider/qa/flexbench/tracking_grants_for_research/generation_report.json
tracking_orders,orders,50,50,0,1.0,9,"0E,1pE,1pM,2iE,2iH,2iM,3iE,3iH,3iM",9,,,data/spider/qa/flexbench/tracking_orders/generation_report.json
tracking_share_transactions,transactions,50,50,0,1.0,14,"0E,0M,1pE,1pM,2iE,2iM,2pE,2pM,3iE,3iH,3iM,4iE,4iH,4iM",14,,,data/spider/qa/flexbench/tracking_share_transactions/generation_report.json
tracking_software_problems,staff,50,41,9,0.82,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3pE,3pH,3pM",14,"2iE,2iH,2iM",sparse_combinations:9,data/spider/qa/flexbench/tracking_software_problems/generation_report.json
